epoch,train_loss,val_loss,val_r2,val_pearson,val_mae_avg,grad_norm,lr,epoch_time,total_time,MAE_Phys_P0,MAE_Phys_P1,MAE_Phys_P2
55,0.022066977077398818,0.015113789823990835,0.9850227236747742,0.9928035736083984,0.049215093,0.08166947258642307,0.004205957214547972,22.62,1390.34,0.06437713,0.07034654,0.01292162
56,0.02225929479629468,0.01390744764593583,0.986191987991333,0.9931895732879639,0.048567306,0.08221763775895198,0.0042792348530659155,22.58,1412.92,0.05805594,0.075551786,0.01209419
57,0.021650253393398686,0.015344076518771014,0.9847813248634338,0.993297278881073,0.056605592,0.07464638752297471,0.004349566480305409,22.57,1435.49,0.08773068,0.069837004,0.012249104
58,0.021285277966874096,0.012639839437943471,0.9874950051307678,0.9938468933105469,0.042531878,0.0757961982783799,0.004416828708065748,22.6,1458.09,0.055521425,0.06079041,0.011283798
59,0.020807509985975563,0.013136287278766874,0.9870052933692932,0.9935393333435059,0.047397316,0.06957497154942717,0.004480903533030582,22.65,1480.74,0.06349318,0.06745175,0.011247012
60,0.02065124907813514,0.013819299166715598,0.9863188862800598,0.9936773777008057,0.051225755,0.06824694410823405,0.004541678543790234,22.68,1503.41,0.05974194,0.08256241,0.01137292
61,0.02138984241424658,0.013776329499256761,0.9863417744636536,0.9933088421821594,0.047511503,0.0743385008610666,0.00459904711805371,22.68,1526.09,0.06381231,0.06730415,0.011418064
62,0.02060998057405027,0.012938650348518469,0.9871619343757629,0.9939081072807312,0.049023617,0.06730006712551315,0.004652908609704422,22.67,1548.76,0.05724318,0.07864491,0.0111827655
63,0.020376930602442344,0.0128775759588314,0.98724764585495,0.9938569068908691,0.043513793,0.07044715693773934,0.004703168525371421,22.7,1571.45,0.058821093,0.060723916,0.010996364
64,0.020069353877545926,0.012883417214019388,0.9872252345085144,0.9939918518066406,0.04691416,0.06513553799484104,0.004749738690206418,22.6,1594.06,0.05620964,0.07311181,0.011421017
65,0.02020720247262583,0.013130604466305503,0.9869975447654724,0.9935163855552673,0.04664181,0.06663093995600462,0.004792537402575725,22.67,1616.73,0.05871062,0.06968167,0.011533158
66,0.02005937990670006,0.013193743138373652,0.9869183897972107,0.993635356426239,0.050793108,0.06539766708263955,0.004831489577395732,22.65,1639.38,0.06784897,0.0730296,0.0115007395
67,0.019423993631673696,0.013308365133744253,0.9868283271789551,0.993915319442749,0.047364935,0.05909400480314375,0.004866526877860465,22.66,1662.04,0.059521567,0.0705904,0.011982838
68,0.01990074547715842,0.011592012417467334,0.9885203838348389,0.994495689868927,0.046671037,0.0650983648344922,0.004897587835330116,22.59,1684.64,0.05539561,0.07452313,0.010094369
69,0.0189817218353954,0.012389641773851611,0.987717866897583,0.9942830204963684,0.040818278,0.058708710935169134,0.004924617957170222,22.61,1707.24,0.056695014,0.054045834,0.011713993
70,0.01896337046029088,0.013956616196451308,0.9861690402030945,0.9936223030090332,0.055915844,0.06002313179520372,0.004947569822352298,22.67,1729.91,0.06842101,0.08818495,0.011141562
71,0.0190429504687032,0.01333699799791167,0.9867846369743347,0.9939265251159668,0.050661143,0.05957265998632573,0.0049664031646482094,22.67,1752.58,0.07014891,0.07084083,0.010993692
72,0.019081795177520653,0.013661461540415316,0.9864308834075928,0.9937164187431335,0.04730617,0.060917469777000216,0.004981084943272318,22.61,1775.19,0.058057774,0.07233534,0.011525398
73,0.018936998166215305,0.012244653852680061,0.9878539443016052,0.9941226840019226,0.04583496,0.05857654451466978,0.0049915894008474865,22.64,1797.83,0.05757895,0.06921895,0.0107069705
74,0.01855179296133998,0.011988199209865135,0.9881365299224854,0.9942891001701355,0.04318792,0.056395120043962146,0.004997898108593228,22.68,1820.51,0.05824087,0.060409524,0.010913371
75,0.018460912064622387,0.012443057343929628,0.9876804947853088,0.9941516518592834,0.04452606,0.0580410430261407,0.004999999999743006,22.62,1843.13,0.067227386,0.055265073,0.011085716
76,0.01856836191000649,0.011649112912672984,0.9884530901908875,0.99446040391922,0.0427219,0.05617096478018326,0.004999596527698184,22.7,1865.82,0.05277082,0.06488329,0.010511593
77,0.01824335092172836,0.012703353845620458,0.9874240756034851,0.9940090179443359,0.048089683,0.05446811441105966,0.004998387528545949,22.66,1888.48,0.063017644,0.07012976,0.01112164
78,0.018253647862151025,0.013290456578701357,0.9868096709251404,0.9937049746513367,0.04750513,0.05476177384416326,0.004996373391903376,22.66,1911.14,0.065513626,0.06597347,0.011028293
79,0.018207754189975726,0.01223438902746273,0.9878857135772705,0.9943230748176575,0.042253297,0.0543602443517397,0.004993554766854481,22.65,1933.79,0.053909864,0.06105073,0.011799287
